# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;96091.37;100000.00;22.86;247.00
2.00;96036.57;100000.00;22.83;245.00
3.00;96091.37;100000.00;22.86;246.00
4.00;96091.37;100000.00;22.86;247.00
5.00;96091.37;100000.00;22.86;245.00
6.00;96036.57;100000.00;22.83;245.00
7.00;96036.57;100000.00;22.83;247.00
8.00;96091.37;100000.00;22.86;245.00
9.00;96036.57;100000.00;22.83;245.00
10.00;96036.57;100000.00;22.83;245.00
11.00;96036.57;100000.00;22.83;245.00
12.00;96091.37;100000.00;22.86;245.00
13.00;96036.57;100000.00;22.83;246.00
14.00;96091.37;100000.00;22.86;245.00
15.00;96036.57;100000.00;22.83;245.00
16.00;96036.57;100000.00;22.83;247.00
17.00;96036.57;100000.00;22.83;245.00
18.00;96091.37;100000.00;22.86;245.00
19.00;96036.57;100000.00;22.83;245.00
20.00;96036.57;100000.00;22.83;245.00
21.00;96091.37;100000.00;22.86;245.00
22.00;96036.57;100000.00;22.83;245.00
23.00;96036.57;100000.00;22.83;248.00
24.00;96091.37;100000.00;22.86;247.00
25.00;96091.37;100000.00;22.86;245.00
26.00;96036.57;100000.00;22.83;245.00
27.00;96091.37;100000.00;22.86;246.00
28.00;96091.37;100000.00;22.86;246.00
29.00;96036.57;100000.00;22.83;245.00
30.00;96091.37;100000.00;22.86;247.00
31.00;96091.37;100000.00;22.86;246.00
32.00;96036.57;100000.00;22.83;245.00
33.00;96091.37;100000.00;22.86;247.00
34.00;96036.57;100000.00;22.83;245.00
35.00;96036.57;100000.00;22.83;245.00
36.00;96036.57;100000.00;22.83;247.00
37.00;96091.37;100000.00;22.86;245.00
38.00;96036.57;100000.00;22.83;245.00
39.00;96036.57;100000.00;22.83;245.00
40.00;96036.57;100000.00;22.83;245.00
41.00;96036.57;100000.00;22.83;245.00
42.00;96036.57;100000.00;22.83;246.00
43.00;96091.37;100000.00;22.86;247.00
44.00;96091.37;100000.00;22.86;246.00
45.00;96036.57;100000.00;22.83;245.00
46.00;96091.37;100000.00;22.86;245.00
47.00;96036.57;100000.00;22.83;246.00
48.00;96091.37;100000.00;22.86;245.00
49.00;96036.57;100000.00;22.83;245.00
