# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;1334.29;1413.00;21.95;41.00
2.00;1334.29;1413.00;21.95;41.00
3.00;1335.06;1413.00;21.98;40.00
4.00;1335.83;1413.00;22.01;42.00
5.00;1336.87;1413.00;22.05;42.00
6.00;1336.87;1413.00;22.05;42.00
7.00;1337.64;1413.00;22.08;41.00
8.00;1337.64;1413.00;22.08;40.00
9.00;1338.67;1413.00;22.12;41.00
10.00;1339.45;1413.00;22.15;41.00
11.00;1340.22;1413.00;22.18;42.00
12.00;1340.22;1413.00;22.18;43.00
13.00;1340.22;1413.00;22.18;42.00
14.00;1342.03;1413.00;22.25;42.00
15.00;1341.25;1413.00;22.22;40.00
16.00;1342.03;1413.00;22.25;40.00
17.00;1343.06;1413.00;22.29;42.00
18.00;1342.03;1413.00;22.25;41.00
19.00;1343.06;1413.00;22.29;41.00
20.00;1343.83;1413.00;22.32;39.00
21.00;1343.83;1413.00;22.32;41.00
22.00;1344.61;1413.00;22.35;40.00
23.00;1344.61;1413.00;22.35;41.00
24.00;1345.64;1413.00;22.39;41.00
25.00;1345.64;1413.00;22.39;41.00
26.00;1346.42;1413.00;22.42;41.00
27.00;1346.42;1413.00;22.42;41.00
28.00;1346.42;1413.00;22.42;41.00
29.00;1346.42;1413.00;22.42;41.00
30.00;1346.42;1413.00;22.42;42.00
31.00;1347.19;1413.00;22.45;42.00
32.00;1347.19;1413.00;22.45;41.00
33.00;1348.22;1413.00;22.49;41.00
34.00;1348.22;1413.00;22.49;41.00
35.00;1348.22;1413.00;22.49;42.00
36.00;1349.00;1413.00;22.52;41.00
37.00;1349.00;1413.00;22.52;41.00
38.00;1349.00;1413.00;22.52;40.00
39.00;1349.00;1413.00;22.52;41.00
40.00;1349.00;1413.00;22.52;43.00
41.00;1350.03;1413.00;22.56;41.00
42.00;1350.03;1413.00;22.56;41.00
43.00;1350.03;1413.00;22.56;40.00
44.00;1350.03;1413.00;22.56;41.00
45.00;1350.80;1413.00;22.59;41.00
46.00;1351.58;1413.00;22.62;40.00
47.00;1350.80;1413.00;22.59;40.00
48.00;1350.80;1413.00;22.59;41.00
49.00;1351.58;1413.00;22.62;40.00
50.00;1351.58;1413.00;22.62;41.00
51.00;1351.58;1413.00;22.62;40.00
52.00;1351.58;1413.00;22.62;41.00
53.00;1352.61;1413.00;22.66;42.00
54.00;1351.58;1413.00;22.62;40.00
55.00;1353.38;1413.00;22.69;40.00
56.00;1352.61;1413.00;22.66;41.00
57.00;1352.61;1413.00;22.66;41.00
58.00;1352.61;1413.00;22.66;41.00
59.00;1353.38;1413.00;22.69;40.00
60.00;1352.61;1413.00;22.66;41.00
61.00;1353.38;1413.00;22.69;41.00
62.00;1353.38;1413.00;22.69;42.00
63.00;1353.38;1413.00;22.69;40.00
64.00;1353.38;1413.00;22.69;41.00
65.00;1353.38;1413.00;22.69;40.00
66.00;1354.16;1413.00;22.72;41.00
67.00;1354.16;1413.00;22.72;41.00
68.00;1354.16;1413.00;22.72;41.00
69.00;1354.16;1413.00;22.72;41.00
70.00;1354.16;1413.00;22.72;40.00
71.00;1354.16;1413.00;22.72;41.00
72.00;1355.19;1413.00;22.76;42.00
73.00;1355.19;1413.00;22.76;41.00
74.00;1355.19;1413.00;22.76;42.00
75.00;1354.16;1413.00;22.72;40.00
76.00;1355.19;1413.00;22.76;41.00
77.00;1355.19;1413.00;22.76;42.00
78.00;1355.19;1413.00;22.76;41.00
79.00;1354.16;1413.00;22.72;41.00
80.00;1355.19;1413.00;22.76;41.00
81.00;1355.19;1413.00;22.76;41.00
82.00;1355.19;1413.00;22.76;40.00
83.00;1355.96;1413.00;22.79;40.00
84.00;1355.96;1413.00;22.79;41.00
85.00;1355.96;1413.00;22.79;41.00
86.00;1355.96;1413.00;22.79;41.00
87.00;1355.96;1413.00;22.79;42.00
88.00;1355.96;1413.00;22.79;42.00
89.00;1355.96;1413.00;22.79;40.00
90.00;1355.96;1413.00;22.79;41.00
91.00;1355.96;1413.00;22.79;41.00
92.00;1355.96;1413.00;22.79;41.00
93.00;1357.00;1413.00;22.83;41.00
94.00;1357.00;1413.00;22.83;41.00
95.00;1355.96;1413.00;22.79;41.00
96.00;1357.00;1413.00;22.83;41.00
97.00;1357.00;1413.00;22.83;42.00
98.00;1355.96;1413.00;22.79;41.00
99.00;1357.00;1413.00;22.83;41.00
100.00;1357.00;1413.00;22.83;41.00
101.00;1357.00;1413.00;22.83;42.00
102.00;1355.96;1413.00;22.79;40.00
103.00;1355.96;1413.00;22.79;40.00
104.00;1357.77;1413.00;22.86;41.00
105.00;1357.00;1413.00;22.83;41.00
106.00;1357.00;1413.00;22.83;41.00
107.00;1357.00;1413.00;22.83;41.00
108.00;1357.77;1413.00;22.86;41.00
109.00;1357.77;1413.00;22.86;41.00
110.00;1357.00;1413.00;22.83;42.00
111.00;1357.00;1413.00;22.83;41.00
112.00;1357.00;1413.00;22.83;41.00
113.00;1357.77;1413.00;22.86;40.00
114.00;1357.77;1413.00;22.86;41.00
115.00;1357.77;1413.00;22.86;41.00
116.00;1358.55;1413.00;22.89;41.00
117.00;1357.77;1413.00;22.86;41.00
118.00;1357.77;1413.00;22.86;40.00
119.00;1357.77;1413.00;22.86;40.00
120.00;1357.77;1413.00;22.86;41.00
121.00;1357.77;1413.00;22.86;41.00
122.00;1357.77;1413.00;22.86;41.00
123.00;1357.77;1413.00;22.86;42.00
124.00;1357.77;1413.00;22.86;42.00
125.00;1358.55;1413.00;22.89;41.00
126.00;1357.77;1413.00;22.86;41.00
127.00;1357.77;1413.00;22.86;40.00
128.00;1357.77;1413.00;22.86;40.00
129.00;1357.77;1413.00;22.86;40.00
130.00;1358.55;1413.00;22.89;41.00
131.00;1357.77;1413.00;22.86;41.00
132.00;1358.55;1413.00;22.89;41.00
133.00;1359.58;1413.00;22.93;42.00
134.00;1357.77;1413.00;22.86;41.00
135.00;1358.55;1413.00;22.89;41.00
136.00;1357.77;1413.00;22.86;40.00
137.00;1358.55;1413.00;22.89;42.00
138.00;1358.55;1413.00;22.89;40.00
139.00;1358.55;1413.00;22.89;42.00
140.00;1358.55;1413.00;22.89;42.00
141.00;1358.55;1413.00;22.89;41.00
142.00;1357.77;1413.00;22.86;41.00
143.00;1358.55;1413.00;22.89;41.00
144.00;1358.55;1413.00;22.89;41.00
145.00;1358.55;1413.00;22.89;40.00
146.00;1358.55;1413.00;22.89;41.00
147.00;1359.58;1413.00;22.93;41.00
148.00;1358.55;1413.00;22.89;41.00
149.00;1358.55;1413.00;22.89;40.00
150.00;1358.55;1413.00;22.89;42.00
151.00;1357.77;1413.00;22.86;42.00
152.00;1358.55;1413.00;22.89;41.00
153.00;1358.55;1413.00;22.89;41.00
154.00;1358.55;1413.00;22.89;41.00
155.00;1358.55;1413.00;22.89;41.00
156.00;1358.55;1413.00;22.89;41.00
157.00;1358.55;1413.00;22.89;41.00
158.00;1358.55;1413.00;22.89;41.00
159.00;1358.55;1413.00;22.89;41.00
160.00;1359.58;1413.00;22.93;41.00
161.00;1359.58;1413.00;22.93;42.00
162.00;1358.55;1413.00;22.89;41.00
163.00;1358.55;1413.00;22.89;42.00
164.00;1358.55;1413.00;22.89;41.00
165.00;1358.55;1413.00;22.89;41.00
166.00;1359.58;1413.00;22.93;41.00
167.00;1359.58;1413.00;22.93;41.00
168.00;1359.58;1413.00;22.93;41.00
169.00;1358.55;1413.00;22.89;41.00
170.00;1359.58;1413.00;22.93;40.00
171.00;1358.55;1413.00;22.89;42.00
172.00;1359.58;1413.00;22.93;41.00
173.00;1358.55;1413.00;22.89;41.00
174.00;1359.58;1413.00;22.93;41.00
175.00;1359.58;1413.00;22.93;42.00
176.00;1359.58;1413.00;22.93;41.00
177.00;1359.58;1413.00;22.93;41.00
178.00;1359.58;1413.00;22.93;41.00
179.00;1358.55;1413.00;22.89;41.00
180.00;1359.58;1413.00;22.93;42.00
181.00;1359.58;1413.00;22.93;40.00
182.00;1359.58;1413.00;22.93;41.00
183.00;1359.58;1413.00;22.93;42.00
184.00;1359.58;1413.00;22.93;42.00
185.00;1359.58;1413.00;22.93;42.00
186.00;1359.58;1413.00;22.93;42.00
187.00;1359.58;1413.00;22.93;41.00
188.00;1359.58;1413.00;22.93;40.00
189.00;1359.58;1413.00;22.93;40.00
190.00;1359.58;1413.00;22.93;42.00
191.00;1359.58;1413.00;22.93;41.00
192.00;1359.58;1413.00;22.93;42.00
193.00;1359.58;1413.00;22.93;41.00
194.00;1359.58;1413.00;22.93;41.00
195.00;1360.35;1413.00;22.96;42.00
196.00;1359.58;1413.00;22.93;41.00
197.00;1360.35;1413.00;22.96;43.00
198.00;1359.58;1413.00;22.93;40.00
199.00;1360.35;1413.00;22.96;41.00
200.00;1359.58;1413.00;22.93;41.00
